Cable_Name,Product_Type,Standards,Certifications,Key_Features,Short_Description,Full_Description,Product_URL
Polycab MV IS 7098-II 3C A2XWY/A2XFY 3.3/3.3kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.3/3.3 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 3.3/3.3 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-3333kv-ue/pt-13205/p-55105
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 6.6/6.6kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 6.6/6.6 KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-6666kv-ue/pt-13205/p-55061
Polycab MV 1T AL XLPE AS-NZS 6.35/11kV ATR,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-63511kv-atr/pt-13205/p-55189
Polycab MV SC AL XLPE ATR AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-atr-as-nzs-1933kv/pt-13205/p-55147
Polycab MV AL BS 6622 8.7/15kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","8.7/15 (17.5) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application","8.7/15 (17.5) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-al-bs-6622-8715kv/pt-13205/p-54989
Polycab MV 35kV Cu UL 1072 TRXLPE 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Annealed Bare Copper Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Annealed Bare Copper Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-cu-ul-1072-trxlpe-100/pt-13205/p-55451
Polycab MV 1T AL XLPE AS-NZS 12.7/22kV ATR,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-12722kv-atr/pt-13205/p-55195
Polycab MV Cu BS 7835 19/33(36)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"19/33 (36) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","19/33 (36) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7835-1933-36-kv/pt-13205/p-54949
Polycab MV SC Cu XLPE AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 1.9/3.3 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 1.9/3.3 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-cu-xlpe-as-nzs-1933kv/pt-13205/p-55119
Polycab MV 35kV Cu UL 1072 EPR 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-cu-ul-1072-epr-100/pt-13205/p-55447
Polycab MV SC Cu XLPE AS-NZS 6.35/11KV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-cu-xlpe-as-nzs-63511kv/pt-13205/p-55131
Polycab MV IS 7098-II 3C A2XWY/A2XFY 3.8/6.6kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-3866kv-e/pt-13205/p-55107
Polycab MV SC Cu EPR ICEA/NEMA 8kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 8KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 8KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-cu-epr-iceanema-8kv/pt-13205/p-55205
Polycab MV Cu IEC 60502-2 6.0/10kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 6/10 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 6/10 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-iec-60502-2-6010kv/pt-13205/p-55405
Polycab BS 5467 MC(Shaped Conductor)1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 5467, BS 6724, BS 6622, BS 7870-4","CE, FQC",High Life,,,https://polycab.com/polycab-bs-5467-mc-shaped-conductor-1933kv-ac/pt-13205/p-55473
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 6.35/11kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.35/11 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 6.35/11 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 6.35/11 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-63511kv-e/pt-13205/p-55063
Polycab MV Cu BS 6622 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","6.35/11 (12) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application","6.35/11 (12) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-cu-bs-6622-63511kv/pt-13205/p-54995
Polycab MV SC Cu EPR ICEA/NEMA 5kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 5 KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks","POLYCAB MV 5 KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks",https://polycab.com/polycab-mv-sc-cu-epr-iceanema-5kv/pt-13205/p-55203
Polycab MV 15kV Cu UL 1072 EPR 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-cu-ul-1072-epr-133/pt-13205/p-55433
Polycab MV 3C AL XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-3c-al-xlpe-as-nzs-1933kv/pt-13205/p-55175
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 3.8/6.6kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 3.8/6.6 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-3866kv-e/pt-13205/p-55059
Polycab MV AL BS 7835 6.35/11(12)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"6.35/11 (12) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","6.35/11 (12) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-bs-7835-63511-12-kv/pt-13205/p-55003
Polycab MV IS 7098-II 3C A2XWY/A2XFY 6.6/6.6kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-6666kv-ue/pt-13205/p-55109
Polycab MV AL IEC 60502-2 6.0/10kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 6/10 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 6/10 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-iec-60502-2-6010kv/pt-13205/p-55415
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 3.3/3.3kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.3/3.3KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 3.3/3.3KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation , Aluminium armored &amp; Overall outer sheathed MV 3.3/3.3KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-3333kv-ue/pt-13205/p-55073
Polycab MV15kV Cu UL 1072 TRXLPE 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Annealed Bare Copper Conductor TR-XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Annealed Bare Copper Conductor TR-XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv15kv-cu-ul-1072-trxlpe-133/pt-13205/p-55437
Polycab BS 6724 MC SWA LSZH(Shaped conductor)1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC",High Life,,,https://polycab.com/polycab-bs-6724-mc-swa-lszh-shaped-conductor-1933kv-ac/pt-13205/p-55463
Polycab MV 1T Cu XLPE AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-cu-xlpe-as-nzs-63511kv/pt-13205/p-55185
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 19/33kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 19/33 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 19/33 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 19/33 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-1933kv-e/pt-13205/p-55069
Polycab MV IS 7098-II 3C 2XWY 2XFY 1.9/3.3kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy-2xfy-1933kv-e/pt-13205/p-55087
Polycab BS 6724 SC AWA LSZH 1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC",High Life,,,https://polycab.com/polycab-bs-6724-sc-awa-lszh-1933kv-ac/pt-13205/p-55459
Polycab MV AL IEC 60502-2 18/30kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","Polycab MV 18/30 kV XLPE insulated with aluminium conductor single and multicore cable is suitable to use for power network, underground, in cable ducting and also suitable for direct burial.","Polycab MV 18/30 kV XLPE insulated with aluminium conductor single and multicore cable is suitable to use for power network, underground, in cable ducting and also suitable for direct burial.",https://polycab.com/polycab-mv-al-iec-60502-2-1830kv/pt-13205/p-55421
Polycab MV AL BS 6622 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","3.8/6.6 (7.2) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application","3.8/6.6 (7.2) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-al-bs-6622-3866kv/pt-13205/p-54985
Polycab MV SC AL XLPE AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-as-nzs-63511kv/pt-13205/p-55133
Polycab MV IS 7098-II 3C A2XWY/A2XFY 1.9/3.3kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-1933kv-e/pt-13205/p-55103
Polycab MV SC AL XLPE ATR AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-atr-as-nzs-3866kv/pt-13205/p-55129
Polycab MV Cu BS 7835 8.7/15(15)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"8.7/15(15) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","8.7/15(15) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7835-8715-15-kv/pt-13205/p-55013
Polycab MV SC AL XLPE ATR AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-sc-al-xlpe-atr-as-nzs-63511kv/pt-13205/p-55135
Polycab MV SC Cu XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-sc-cu-xlpe-as-nzs-3866kv/pt-13205/p-55125
