Cable_Name,Product_Type,Standards,Certifications,Key_Features,Short_Description,Full_Description,Product_URL
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 11/11kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 11/11KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 11/11KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 11/11 KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-1111kv-ue/pt-13205/p-55081
Polycab MV 1T AL XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-1933kv/pt-13205/p-55199
Polycab MV SC Cu EPR ICEA/NEMA 15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 15KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 15KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-cu-epr-iceanema-15kv/pt-13205/p-55207
Polycab MV Cu BS 6622 8.7/15kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","8.7/15 (17.5) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application","8.7/15 (17.5) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-cu-bs-6622-8715kv/pt-13205/p-54997
Polycab MV 3C AL XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-as-nzs-3866kv/pt-13205/p-55157
Polycab MV Cu BS 7870-4-10 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-12722kv/pt-13205/p-55021
Polycab MV SC AL EPR ICEA/NEMA 15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 15KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 15KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-al-epr-iceanema-15kv/pt-13205/p-55217
Polycab BS 5467 SC 1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 5467, BS 6724, BS 6622, BS 7870-4","CE, FQC",High Life,"POLYCAB BS 5467 SC stranded copper conductor thermosetting material insulated single core armoured cable&#xA;fulfils the requirement as per BS EN 5467. These cables suitable for power network, underground in freedraining&#xA;soil, outdoor and indoor applications, and cable ducting.","POLYCAB BS 5467 SC stranded copper conductor thermosetting material insulated single core armoured cable&#xA;fulfils the requirement as per BS EN 5467. These cables suitable for power network, underground in freedraining&#xA;soil, outdoor and indoor applications, and cable ducting.",https://polycab.com/polycab-bs-5467-sc-1933kv-ac/pt-13205/p-55469
Polycab MV 35kV AL UL 1072 TRXLPE 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-al-ul-1072-trxlpe-133/pt-13205/p-55445
Polycab MV AL BS 7870-4-10 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-63511kv/pt-13205/p-55019
Polycab MV 15kV AL UL 1072 EPR 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-al-ul-1072-epr-100/pt-13205/p-55423
Polycab MV IS 7098-II 3C 2XWY/2XFY 6.6/6.6kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-6666kv-ue/pt-13205/p-55093
Polycab MV CU BS 6622 19/33kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","19/33 (36) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for power network, under ground application","19/33 (36) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-cu-bs-6622-1933kv/pt-13205/p-54981
Polycab MV 3C AL XLPE ATR AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-atr-as-nzs-3866kv/pt-13205/p-55159
Polycab MV AL BS 7835 19/33(36)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"19/33 (36) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","19/33 (36) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-bs-7835-1933-36-kv/pt-13205/p-54947
Polycab MV 3C AL XLPE ATR AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-atr-as-nzs-1933kv/pt-13205/p-55153
Polycab MV 15kV AL UL 1072 TRXLPE 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-al-ul-1072-trxlpe-133/pt-13205/p-55429
Polycab MV 3C AL XLPE ATR AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-3c-al-xlpe-atr-as-nzs-1933kv/pt-13205/p-55177
Polycab MV AL BS 7870-4-10 12.7/22kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-12722kv-triplex/pt-13205/p-55027
Polycab MV 3C AL EPR ICEA/NEMA 5kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 5 KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 5 KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-al-epr-iceanema-5kv/pt-13205/p-55233
Polycab MV 3C Cu XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-cu-xlpe-as-nzs-3866kv/pt-13205/p-55155
Polycab BS 6724 MC SWA LSZH 1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC",High Life,,,https://polycab.com/polycab-bs-6724-mc-swa-lszh-1933kv-ac/pt-13205/p-55461
Polycab MV 1T AL XLPE AS-NZS 3.8/6.6kV ATR,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-3866kv-atr/pt-13205/p-55183
Polycab MV SC Cu XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-cu-xlpe-as-nzs-1933kv/pt-13205/p-55143
Polycab MV Cu BS 7870-4-20 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV CU BS 7870-4-20 6.35/11 KV compacted Copper conductor, XLPE insulated, copper wire screened three core cable is designed for power networks, underground direct buried or in cable ducting.","POLYCAB MV CU BS 7870-4-20 6.35/11 KV compacted Copper conductor, XLPE insulated, copper wire screened three core cable is designed for power networks, underground direct buried or in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7870-4-20-63511kv/pt-13205/p-55401
Polycab MV AL BS 7870-4-10 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-12722kv/pt-13205/p-55015
Polycab MV AL IEC 60502-2 12/20kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 12/20 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 12/20 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-iec-60502-2-1220kv/pt-13205/p-55419
Polycab MV 15kV AL 1072 TRXLPE 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-al-1072-trxlpe-100/pt-13205/p-55427
Polycab MV IS 7098-II 3C 2XWY/2XFY 6.35/11kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.35/11 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 6.35/11 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-63511kv-e/pt-13205/p-55095
Polycab MV SC AL EPR ICEA/NEMA 8kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 8KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 8KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-al-epr-iceanema-8kv/pt-13205/p-55215
Polycab MV SC AL XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-as-nzs-1933kv/pt-13205/p-55145
Polycab MV 35kV AL UL 1072 TRXLPE 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-al-ul-1072-trxlpe-100/pt-13205/p-55443
Polycab MV 3C AL EPR ICEA/NEMA 15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 15KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 15KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-al-epr-iceanema-15kv/pt-13205/p-55237
Polycab MV AL BS 7870-4-10 19/33kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-1933kv/pt-13205/p-55017
Polycab MV 3C AL XLPE ATR AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-3c-al-xlpe-atr-as-nzs-12722kv/pt-13205/p-55171
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 11/11kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 11/11 KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 11/11 KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 11/11 KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-1111kv-ue/pt-13205/p-55065
Polycab MV Cu BS 7835 12.7/22(24)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"12.7/22(24) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","12.7/22(24) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7835-12722-24-kv/pt-13205/p-55009
Polycab MV IS 7098-II 3C 2XWY/2XFY 19/33kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 19/33 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 19/33 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-1933kv-e/pt-13205/p-55101
Polycab MV Cu UL 1072 5kV XLPE 100% OR 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 5KV Annealed Bare Copper Conductor XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 5KV Annealed Bare Copper Conductor XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-cu-ul-1072-5kv-xlpe-100-or-133/pt-13205/p-55397
Polycab MV Cu BS 7835 6.35/11(12)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"6.35/11(12) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","6.35/11(12) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7835-63511-12-kv/pt-13205/p-55011
