Cable_Name,Product_Type,Standards,Certifications,Key_Features,Short_Description,Full_Description,Product_URL
Polycab MV AL IEC 60502-2 3.6/6.0kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life",POLYCAB MV 3.6/6 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 3.6/6 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-al-iec-60502-2-3660kv/pt-13205/p-55413
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 1.9/3.3kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-1933kv-e/pt-13205/p-55055
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 6.35/11kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.35/11 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 6.35/11 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 6.35/11 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-63511kv-e/pt-13205/p-55079
Polycab MV SC Cu EPR ICEA/NEMA 25kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 25KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 25KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-cu-epr-iceanema-25kv/pt-13205/p-55209
Polycab MV SC AL XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-as-nzs-3866kv/pt-13205/p-55127
Polycab MV 3C Cu XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-cu-xlpe-as-nzs-12722kv/pt-13205/p-55167
Polycab MV IS 7098-II 3C A2XWY/A2XFY 19/33kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 19/33 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 19/33 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-1933kv-e/pt-13205/p-55117
Polycab MV 3C Cu EPR ICEA/NEMA 25kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 25KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 25KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-cu-epr-iceanema-25kv/pt-13205/p-55229
Polycab MV Cu IEC 60502-2 3.6/6.0kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life",POLYCAB MV 3.6/6 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 3.6/6 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-cu-iec-60502-2-3660kv/pt-13205/p-55403
Polycab MV 1T Cu XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-cu-xlpe-as-nzs-12722kv/pt-13205/p-55191
Polycab MV SC AL XLPE ATR AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-sc-al-xlpe-atr-as-nzs-12722kv/pt-13205/p-55141
Polycab MV AL BS 7870-4-10 6.35/11kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-63511kv-triplex/pt-13205/p-55031
Polycab MV AL IEC 60502-2 8.7/15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 8.7/15 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 8.7/15 KV XLPE insulated with Aluminium conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-iec-60502-2-8715kv/pt-13205/p-55417
Polycab MV 15kV Cu UL 1072 TR-XLPE 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Annealed Bare Copper Conductor TR-XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Annealed Bare Copper Conductor TR-XLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-cu-ul-1072-tr-xlpe-100/pt-13205/p-55435
Polycab MV SC Cu EPR ICEA/NEMA 35kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 35KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 35KV EPR insulated with Copper conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-cu-epr-iceanema-35kv/pt-13205/p-55211
Polycab MV SC AL XLPE ATR AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-sc-al-xlpe-atr-as-nzs-1933kv/pt-13205/p-55123
Polycab MV 35kV AL UL 1072 EPR 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-al-ul-1072-epr-133/pt-13205/p-55441
Polycab MV 3C Cu EPR ICEA/NEMA 15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 15KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 15KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-cu-epr-iceanema-15kv/pt-13205/p-55227
Polycab MV SC AL XLPE AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-as-nzs-1933kv/pt-13205/p-55121
Polycab MV 15kV Cu UL 1072 EPR 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-cu-ul-1072-epr-100/pt-13205/p-55431
Polycab MV 1T Cu XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-cu-xlpe-as-nzs-1933kv/pt-13205/p-55197
Polycab MV Cu BS 7870-4-10 6.35/11kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-63511kv-triplex/pt-13205/p-55035
Polycab MV 3C Cu EPR ICEA/NEMA 8kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 8KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 8KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-cu-epr-iceanema-8kv/pt-13205/p-55225
Polycab MV IS 7098-II 3C A2XWY/A2XFY 6.35/11kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.35/11 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 6.35/11 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-63511kv-e/pt-13205/p-55111
Polycab MV IS 7098-II 3C 2XWY/2XFY 12.7/22kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 12.7/22 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 12.7/22 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-12722kv-e/pt-13205/p-55099
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 6.6/6.6kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 6.6/6.6 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 6.6/6.6 KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-6666kv-ue/pt-13205/p-55077
Polycab MV Cu IEC 60502-2 8.7 /15kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 8.7/15 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 8.7/15 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-iec-60502-2-87-15kv/pt-13205/p-55407
Polycab MV SC AL EPR ICEA/NEMA 5kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 5 KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks","POLYCAB MV 5 KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks",https://polycab.com/polycab-mv-sc-al-epr-iceanema-5kv/pt-13205/p-55213
Polycab MV 3C Cu XLPE AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 1.9/3.3 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 1.9/3.3 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-cu-xlpe-as-nzs-1933kv/pt-13205/p-55149
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 19/33kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 19/33 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 19/33 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 19/33 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-1933kv-e/pt-13205/p-55085
Polycab MV AL BS 7835 12.7/22(24)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"12.7/22 (24) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","12.7/22 (24) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-bs-7835-12722-24-kv/pt-13205/p-54999
Polycab MV Cu BS 7870-4-10 19/33kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-1933kv-triplex/pt-13205/p-55033
Polycab MV 35kV AL UL 1072 EPR 100%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-al-ul-1072-epr-100/pt-13205/p-55439
Polycab MV 3C AL XLPE AS-NZS 1.9/3.3kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 1.9/3.3 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-as-nzs-1933kv/pt-13205/p-55151
Polycab MV 3C Cu EPR ICEA/NEMA 35kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 35KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 35KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-cu-epr-iceanema-35kv/pt-13205/p-55231
Polycab MV SC AL EPR ICEA/NEMA 35kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 35KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks","POLYCAB MV 35KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks",https://polycab.com/polycab-mv-sc-al-epr-iceanema-35kv/pt-13205/p-55221
Polycab MV AL BS 6622 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","6.35/11 (12) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application","6.35/11 (12) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-al-bs-6622-63511kv/pt-13205/p-54987
Polycab MV 3C AL XLPE ATR AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-3c-al-xlpe-atr-as-nzs-63511kv/pt-13205/p-55165
Polycab MV AL BS 6622 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","12.7/22 (24) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application","12.7/22 (24) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-al-bs-6622-12722kv/pt-13205/p-54983
