Cable_Name,Product_Type,Standards,Certifications,Key_Features,Short_Description,Full_Description,Product_URL
Polycab MV SC AL EPR ICEA/NEMA 25kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 25KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 25KV EPR insulated with Aluminium conductor single core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-sc-al-epr-iceanema-25kv/pt-13205/p-55219
Polycab MV IS 7098-II 1CA2XWaY/A2XFaY 12.7/22kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 12.7/22 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 12.7/22 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 12.7/22 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1ca2xwaya2xfay-12722kv-e/pt-13205/p-55083
Polycab MV Cu BS 7835 3.8/6.6(7.2)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"3.8/6.6(7.2) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","3.8/6.6(7.2) kV XLPE insulated with copper conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-bs-7835-3866-72-kv/pt-13205/p-55007
Polycab MV Cu BS 7870-4-10 12.7/22kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-12722kv-triplex/pt-13205/p-55037
Polycab MV AL BS 7835 8.7/15(15)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"8.7/15 (17.5) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","8.7/15 (17.5) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-bs-7835-8715-15-kv/pt-13205/p-55005
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 3.3/3.3kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.3/3.3KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 3.3/3.3KV(UE) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation , Aluminium armored &amp; Overall outer sheathed MV 3.3/3.3KV(UE) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-3333kv-ue/pt-13205/p-55057
Polycab MV 1T AL XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-12722kv/pt-13205/p-55193
Polycab MV 3C AL XLPE AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-as-nzs-63511kv/pt-13205/p-55163
Polycab MV SC Cu XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 12.7/22 KV XLPE insulated with Copper conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-sc-cu-xlpe-as-nzs-12722kv/pt-13205/p-55137
Polycab MV Cu BS 6622 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","3.8/6.6 (7.2) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application","3.8/6.6 (7.2) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-cu-bs-6622-3866kv/pt-13205/p-54993
Polycab MV AL BS 7870-4-20 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV AL BS 7870-4-20 6.35/11 KV compacted aluminium conductor, XLPE insulated, copper wire screened three core cable is designed for power networks, underground direct buried or in cable ducting.","POLYCAB MV AL BS 7870-4-20 6.35/11 KV compacted aluminium conductor, XLPE insulated, copper wire screened three core cable is designed for power networks, underground direct buried or in cable ducting.",https://polycab.com/polycab-mv-al-bs-7870-4-20-63511kv/pt-13205/p-55399
Polycab MV IS 7098-II 3C 2XWY/2XFY 11/11kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 11/11 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 11/11 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-1111kv-ue/pt-13205/p-55097
Polycab MV Cu BS 7870-4-10 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-63511kv/pt-13205/p-55025
Polycab MV 3C AL XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-al-xlpe-as-nzs-12722kv/pt-13205/p-55169
Polycab MV 1T AL XLPE AS-NZS 19/33kV ATR,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life, Termite Resistant","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 19/33 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-1933kv-atr/pt-13205/p-55201
Polycab MV Cu IEC 60502-2-12/20kV,MV Power Cable,"IEC 60502-2-12, IEC 60502-2, BS 6724, BS 6622, BS 7870-4","CE, FQC","Flame Retardant, Oil Resistant, High Life","POLYCAB MV 12/20 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.","POLYCAB MV 12/20 KV XLPE insulated with copper conductor single &amp; multi core cable is suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-cu-iec-60502-2-1220kv/pt-13205/p-55409
Polycab MV IS 7098-II 3C A2XWY/A2XFY 12.7/22kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 12.7/22 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 12.7/22 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-12722kv-e/pt-13205/p-55115
Polycab MV 1T AL XLPE AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential","POLYCAB MV 6.35/11 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-63511kv/pt-13205/p-55187
Polycab MV AL BS 7835 3.8/6.6(7.2)kV,MV Power Cable,"IEC 60502-2, BS 7835, BS 6724, BS 6622, BS 7870-4","CE, FQC",Oil Resistant,"3.8/6.6 (7.2) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.","3.8/6.6 (7.2) kV XLPE insulated with aluminium conductor single &amp; multi core cable is designed for low smoke &amp; low halogen evolution and this suitable to use for power networks, underground and in cable ducting.",https://polycab.com/polycab-mv-al-bs-7835-3866-72-kv/pt-13205/p-55001
Polycab MV 3C AL EPR ICEA/NEMA 35kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 35KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks","POLYCAB MV 35KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks",https://polycab.com/polycab-mv-3c-al-epr-iceanema-35kv/pt-13205/p-55241
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 3.8/6.6kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.8/6.6KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,"POLYCAB MV 3.8/6.6KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system. Stranded aluminium conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 3.8/6.6 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-3866kv-e/pt-13205/p-55075
Polycab MV 3C AL EPR ICEA/NEMA 8kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 8KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 8KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-al-epr-iceanema-8kv/pt-13205/p-55235
Polycab MV AL BS 7870-4-10 19/33kV Triplex,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-al-bs-7870-4-10-1933kv-triplex/pt-13205/p-55029
Polycab MV Cu IEC 60502-2 18/30kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, Oil Resistant, High Life",,,https://polycab.com/polycab-mv-cu-iec-60502-2-1830kv/pt-13205/p-55411
Polycab MV 1T Cu XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Copper conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-cu-xlpe-as-nzs-3866kv/pt-13205/p-55179
Polycab MV IS 7098-II 1C A2XWaY/A2XFaY 1.9/ 3.3kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,POLYCAB MV 1.9/3.3 KV(E) XLPE insulated with aluminium conductor single core cable is suitable to use for&#xA;power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-1c-a2xwaya2xfay-19-33kv-e/pt-13205/p-55071
Polycab MV 15kV AL UL 1072 EPR 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 15KV Class B Compact Stranded 8000 series Aluminium Alloy Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-15kv-al-ul-1072-epr-133/pt-13205/p-55425
Polycab MV IS 7098-II 3C 2XWY/2XFY 3.3/3.3kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.3/3.3 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 3.3/3.3 KV(UE) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-3333kv-ue/pt-13205/p-55089
Polycab MV AL BS 6622 19/33kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","19/33 (36) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application","19/33 (36) kV XLPE insulated with Aluminium conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-al-bs-6622-1933kv/pt-13205/p-54979
Polycab MV 3C AL EPR ICEA/NEMA 25kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 25KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 25KV EPR insulated with Aluminium conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-al-epr-iceanema-25kv/pt-13205/p-55239
Polycab MV SC AL XLPE AS-NZS 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 12.7/22 KV XLPE insulated with Aluminium conductor single core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-sc-al-xlpe-as-nzs-12722kv/pt-13205/p-55139
Polycab MV Cu BS 6622 12.7/22kV,MV Power Cable,"IEC 60502-2, BS 6622, BS 6724, BS 7870-4, BS 7835","CE, FQC","Flame Retardant, UV Resistant, Oil Resistant, High Life","12.7/22 (24) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application","12.7/22 (24) kV XLPE insulated with Copper conductor single &amp; multi core cable is designed for power network, under ground application",https://polycab.com/polycab-mv-cu-bs-6622-12722kv/pt-13205/p-54991
Polycab MV 3C Cu XLPE AS-NZS 19/33kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 19/33 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-cu-xlpe-as-nzs-1933kv/pt-13205/p-55173
Polycab MV 3C Cu XLPE AS-NZS 6.35/11kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","UV Resistant, Long Life","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 6.35/11 KV XLPE insulated with Copper conductor Three core cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-3c-cu-xlpe-as-nzs-63511kv/pt-13205/p-55161
Polycab BS 5467 MC 1.9/3.3kV AC,MV Power Cable,"IEC 60502-2, BS 5467, BS 6724, BS 6622, BS 7870-4","CE, FQC",High Life,,,https://polycab.com/polycab-bs-5467-mc-1933kv-ac/pt-13205/p-55471
Polycab MV 35kV Cu UL 1072 TRXLPE 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Annealed Bare Copper Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Annealed Bare Copper Conductor TRXLPE Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-cu-ul-1072-trxlpe-133/pt-13205/p-55453
Polycab MV 1T AL XLPE AS-NZS 3.8/6.6kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, FQC","UV Resistant, Long Life","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.","POLYCAB MV 3.8/6.6 KV XLPE insulated with Aluminium conductor Triplex cable is suitable to use for power supply to wide networks i.e. Commercial, Industrial and Urban / Residential.",https://polycab.com/polycab-mv-1t-al-xlpe-as-nzs-3866kv/pt-13205/p-55181
Polycab MV IS 7098-II 3C A2XWY/A2XFY 11/11kV(UE),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 11/11 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,POLYCAB MV 11/11 KV(UE) XLPE insulated with aluminium conductor single core cable is suitable to use for power distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-a2xwya2xfy-1111kv-ue/pt-13205/p-55113
Polycab MV 3C Cu EPR ICEA/NEMA 5kV,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, CPRI, FQC","Flame Retardant, Sunlight Resistant, High Life, Corona Resistant, Treeing Resistant","POLYCAB MV 5 KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.","POLYCAB MV 5 KV EPR insulated with Copper conductor Three core cable is suitable to use in conduits, ducts,&#xA;troughs, trays, direct burial in wet and dry conditions for power supply to wide networks.",https://polycab.com/polycab-mv-3c-cu-epr-iceanema-5kv/pt-13205/p-55223
Polycab MV 35kV Cu UL 1072 EPR 133%,MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, UL","Flame Retardant, Moisture Resistant, High Life, Corona Resistant","POLYCAB 35KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.","POLYCAB 35KV Annealed Bare Copper Conductor EPR Insulated cable is suitable to use for transmission and distribution of electrical energy. This cable may be used in wet and dry areas, conduits, ducts, troughs, trays, direct burial for power supply to wide network.",https://polycab.com/polycab-mv-35kv-cu-ul-1072-epr-133/pt-13205/p-55449
Polycab MV IS 7098-II 3C 2XWY/2XFY 3.8/6.6kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,POLYCAB MV 3.8/6.6 KV(E) XLPE insulated with coppe conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,https://polycab.com/polycab-mv-is-7098-ii-3c-2xwy2xfy-3866kv-e/pt-13205/p-55091
Polycab MV IS 7098-II 1C 2XWaY/2XFaY 12.7/22kV(E),MV Power Cable,"IEC 60502-2, BS 6724, BS 6622, BS 7870-4, BS 7835","CE, BIS, CPRI, FQC","Flame Retardant, UV Resistant, High Life",POLYCAB MV 12.7/22 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system.,"POLYCAB MV 12.7/22 KV(E) XLPE insulated with copper conductor single core cable is suitable to use for power&#xA;distribution for external and direct burial applications in power network system. Stranded copper conductor, XLPE insulation with semi conductive layer in triple extrusion,inner sheathed, Aluminium armored &amp; Overall outer sheathed MV 12.7/22 KV(E) Power cable",https://polycab.com/polycab-mv-is-7098-ii-1c-2xway2xfay-12722kv-e/pt-13205/p-55067
Polycab MV Cu BS 7870-4-10 19/33kV,MV Power Cable,"IEC 60502-2, BS 7870-4, BS 6724, BS 6622, BS 7835","CE, FQC",Oil Resistant,,,https://polycab.com/polycab-mv-cu-bs-7870-4-10-1933kv/pt-13205/p-55023
