ID,Product Name,Cable Type,Short Description,Voltage Rating,Conductor Material,Conductor Type,Insulation Type,Sheath Material,Special Features,Standards,Certifications,Description,Product URL
1,Polycab Solar H1Z2Z2-K BSEN 50618,Solar DC Cable,Single core halogen-free solar DC cable with XLPO insulation,1500V DC,Copper,Flexible Tinned,XLPO (E-beam cross-linked),XLPO (E-beam cross-linked),"Halogen Free, UV/Ozone Resistant, High Life, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant",BSEN 50618,TUV,"Low smoke, halogen free, flexible single core cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
2,Polycab Solar H1Z2Z2-K BSEN 50618-Twin AT,Solar DC Cable (Twin with Anti-Termite),Twin core solar cable with anti-termite protection and XLPO insulation,1500V DC,Copper,Flexible Tinned,XLPO (E-beam cross-linked),XLPO (E-beam cross-linked),"Halogen Free, UV/Ozone Resistant, High Life, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant, Termite Resistance",BSEN 50618,TUV,"Low smoke, halogen free, flexible two single cores cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
3,Polycab Solar AS NZS 5000 PVC,Solar DC Cable,Aluminum conductor solar cable with PVC sheath for outdoor use,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,PVC,"Flame Retardant, High Life, UV/Ozone Resistant, Hydrolysis Resistant",AS NZS 5000,-,"Low smoke, flame retardant, single core cable with cross-linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
4,Polycab Solar AS NZS 5000 RFH-Twist,Solar DC Cable (Twisted),Twisted aluminum solar cable with reduced fire hazard material sheath,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,Reduced Fire Hazard Material,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Weather Proof",AS NZS 5000,-,"Halogen free, reduced fire hazard, two single cores twisted cable with cross linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
5,Polycab Solar H1Z2Z2-K BSEN 50618-Twin,Solar DC Cable (Twin),Twin core copper solar cable with XLPO insulation and sheath,1500V DC,Copper,Flexible Tinned,XLPO (E-beam cross-linked),XLPO (E-beam cross-linked),"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant",BSEN 50618,TUV,"Low smoke, halogen free, flexible single core cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
6,Polycab Solar AS NZS 5000 PVC-AT,Solar DC Cable (Anti-Termite),Aluminum solar cable with PVC sheath and anti-termite protection,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,PVC with Anti-Termite Jacket,"Flame Retardant, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Termite Resistance",AS NZS 5000,-,"Low smoke, flame retardant, single core cable with cross-linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
7,Polycab Solar H1Z2Z2-K BSEN 50618-AT,Solar DC Cable (Anti-Termite),Copper solar cable with XLPO insulation and anti-termite jacket,1500V DC,Copper,Flexible Tinned,XLPO (E-beam cross-linked),XLPO with Anti-Termite Jacket,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant, Termite Resistance",BSEN 50618,TUV,"Low smoke, halogen free, flexible single core cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
8,Polycab Solar AS NZS 5000 RFH-AT,Solar DC Cable (Anti-Termite),Single core aluminum cable with RFH sheath and anti-termite protection,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,Reduced Fire Hazard Material with Anti-Termite Jacket,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Weather Proof, Termite Resistant",AS NZS 5000,-,"Halogen free, reduced fire hazard, single core cable with cross linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
9,Polycab AL Solar UL 4703 2000V AC,Solar AC Cable,High voltage aluminum alloy solar cable for US applications,2000V AC,Aluminum Alloy,Single Core,Crosslinked Polyolefin,-,"Heat Resistant, Flame Retardant, Oil Resistant, UV & Ozone Resistant, Moisture Resistant",UL 4703,UL,"PV halogen free flame-retardant Aluminium Alloy conductor E-Beam crosslinked Polyolefins insulated Wire designed for Outdoor Solar application as per NEC 690 in wet & dry location. The cable is rated direct burial, Sunlight resistant and weatherproof.",Product Link
10,Polycab Solar AS NZS 5000 XLPO,Solar DC Cable,Single core aluminum cable with XLPO insulation and sheath,1500V DC,Aluminum,Stranded,XLPO (E-beam cross-linked),XLPO (E-beam cross-linked),"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant",AS NZS 5000,-,"Low smoke, halogen free, single core cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
11,Polycab Solar AS NZS 5000 RFH-Twist AT,Solar DC Cable (Twisted with Anti-Termite),Twisted aluminum cable with RFH sheath and anti-termite jacket,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,Reduced Fire Hazard Material with Anti-Termite Jacket,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Weather Proof, Termite Resistant",AS NZS 5000,-,"Halogen free, reduced fire hazard, two single cores twisted cable with cross linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
12,Polycab Cu Solar UL 4703 2000V AC,Solar AC Cable,High voltage copper solar cable for US market applications,2000V AC,Copper,Single Core,Crosslinked Polyolefin,-,"Heat Resistant, Flame Retardant, Oil Resistant, UV & Ozone Resistant, Moisture Resistant",UL 4703,UL,"PV halogen free flame-retardant Copper conductor, E-Beam crosslinked Polyolefins insulated Wire designed for Outdoor Solar application as per NEC 690 in wet & dry location. The cable is rated direct burial, Sunlight resistant and weatherproof.",Product Link
13,Polycab Solar AS NZS 5000 XLPO-AT,Solar DC Cable (Anti-Termite),Single core aluminum cable with XLPO insulation and anti-termite jacket,1500V DC,Aluminum,Stranded,XLPO (E-beam cross-linked),XLPO with Anti-Termite Jacket,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant, Termite Resistance",AS NZS 5000,-,"Low smoke, halogen free, single core cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
14,Polycab Solar AS NZS 5000 XLPO-Twist,Solar DC Cable (Twisted),Twisted aluminum cable with XLPO insulation and sheath,1500V DC,Aluminum,Stranded,XLPO (E-beam cross-linked),XLPO (E-beam cross-linked),"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant",AS NZS 5000,-,"Low smoke, halogen free, two single cores twisted cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
15,Polycab Solar AS NZS 5000 PVC-Twist,Solar DC Cable (Twisted),Twisted aluminum cable with PVC sheath for solar applications,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,PVC,"Flame Retardant, High Life, UV/Ozone Resistant, Hydrolysis Resistant",AS NZS 5000,-,"Low smoke, halogen free, two single cores twisted cable with cross linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
16,Polycab Solar AS NZS 5000 XLPO-Twist AT,Solar DC Cable (Twisted with Anti-Termite),Twisted aluminum cable with XLPO insulation and anti-termite jacket,1500V DC,Aluminum,Stranded,XLPO (E-beam cross-linked),XLPO with Anti-Termite Jacket,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, E-beam Cross Linked, High Temperature Resistant, Termite Resistance",AS NZS 5000,-,"Low smoke, halogen free, two single cores twisted cable with electron beam cross linked insulation and sheath designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
17,Polycab Solar AS NZS 5000 PVC-Twist AT,Solar DC Cable (Twisted with Anti-Termite),Twisted aluminum cable with PVC sheath and anti-termite protection,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,PVC with Anti-Termite Jacket,"Flame Retardant, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Termite Resistance",AS NZS 5000,-,"Low smoke, flame retardant, two single cores twisted cable with cross-linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link
18,Polycab Solar AS NZS 5000 RFH,Solar DC Cable,Single core aluminum cable with reduced fire hazard sheath,1500V DC,Aluminum,Stranded,Cross-linked Halogen Free Flame Retardant,Reduced Fire Hazard Material,"Halogen Free, High Life, UV/Ozone Resistant, Hydrolysis Resistant, Weather Proof",AS NZS 5000,-,"Halogen free, reduced fire hazard, single core cable with cross linked insulation designed for Photovoltaic installation at the Direct current side. Suitable for permanent outdoor use under variable climatic conditions.",Product Link